system,noise_type,intensity,seed,mode_id,real,imag,abs
Inhibited Predator-Prey,gaussian,0.0,100,0,1.0043625831604004,0.0,1.0043625831604004
Inhibited Predator-Prey,gaussian,0.025,100,0,0.9903285503387451,0.005338738672435284,0.990342940473982
Inhibited Predator-Prey,gaussian,0.05,100,0,0.9584097862243652,0.04645516723394394,0.9595349920109048
Inhibited Predator-Prey,gaussian,0.1,100,0,0.8805941343307495,0.0,0.8805941343307495
Inhibited Predator-Prey,gaussian,0.15,100,0,0.9147802591323853,0.0,0.9147802591323853
Inhibited Predator-Prey,gaussian,0.2,100,0,0.8238397836685181,0.0,0.8238397836685181
Inhibited Predator-Prey,gaussian,0.75,100,0,0.6779335141181946,0.0,0.6779335141181946
Inhibited Predator-Prey,gaussian,0.0,100,1,0.981966495513916,0.07006166130304337,0.9844627137156714
Inhibited Predator-Prey,gaussian,0.025,100,1,0.9819238185882568,0.061221614480018616,0.9838305095851032
Inhibited Predator-Prey,gaussian,0.05,100,1,0.9794365763664246,0.07768493890762329,0.9825125733839054
Inhibited Predator-Prey,gaussian,0.1,100,1,0.962752103805542,0.06307394802570343,0.9648160116320346
Inhibited Predator-Prey,gaussian,0.15,100,1,0.9328556060791016,0.06248535215854645,0.9349459882942893
Inhibited Predator-Prey,gaussian,0.2,100,1,0.9255506992340088,0.04692797735333443,0.9267396246578851
Inhibited Predator-Prey,gaussian,0.75,100,1,0.12879064679145813,0.0,0.12879064679145813
Inhibited Predator-Prey,gaussian,0.0,100,2,0.981966495513916,-0.07006166130304337,0.9844627137156714
Inhibited Predator-Prey,gaussian,0.025,100,2,0.9819238185882568,-0.061221614480018616,0.9838305095851032
Inhibited Predator-Prey,gaussian,0.05,100,2,0.9794365763664246,-0.07768493890762329,0.9825125733839054
Inhibited Predator-Prey,gaussian,0.1,100,2,0.962752103805542,-0.06307394802570343,0.9648160116320346
Inhibited Predator-Prey,gaussian,0.15,100,2,0.9328556060791016,-0.06248535215854645,0.9349459882942893
Inhibited Predator-Prey,gaussian,0.2,100,2,0.9255506992340088,-0.04692797735333443,0.9267396246578851
Inhibited Predator-Prey,gaussian,0.75,100,2,0.09053893387317657,0.0,0.09053893387317657
Inhibited Predator-Prey,gaussian,0.0,100,3,0.9733104109764099,0.07636746764183044,0.9763017700634851
Inhibited Predator-Prey,gaussian,0.025,100,3,0.9524365663528442,0.11270249634981155,0.9590814697456495
Inhibited Predator-Prey,gaussian,0.05,100,3,0.9203824996948242,0.1337689757347107,0.9300527321682394
Inhibited Predator-Prey,gaussian,0.1,100,3,0.9015358090400696,0.09049700200557709,0.9060665109987954
Inhibited Predator-Prey,gaussian,0.15,100,3,0.8097879886627197,0.05939017981290817,0.8119629178975002
Inhibited Predator-Prey,gaussian,0.2,100,3,0.6654409170150757,0.02576148882508278,0.6659393878907822
Inhibited Predator-Prey,gaussian,0.75,100,3,0.24678558111190796,0.0,0.24678558111190796
Inhibited Predator-Prey,gaussian,0.0,100,4,0.9733104109764099,-0.07636746764183044,0.9763017700634851
Inhibited Predator-Prey,gaussian,0.025,100,4,0.9524365663528442,-0.11270249634981155,0.9590814697456495
Inhibited Predator-Prey,gaussian,0.05,100,4,0.9203824996948242,-0.1337689757347107,0.9300527321682394
Inhibited Predator-Prey,gaussian,0.1,100,4,0.9015358090400696,-0.09049700200557709,0.9060665109987954
Inhibited Predator-Prey,gaussian,0.15,100,4,0.8097879886627197,-0.05939017981290817,0.8119629178975002
Inhibited Predator-Prey,gaussian,0.2,100,4,0.6654409170150757,-0.02576148882508278,0.6659393878907822
Inhibited Predator-Prey,gaussian,0.75,100,4,0.17706602811813354,0.0,0.17706602811813354
Inhibited Predator-Prey,gaussian,0.0,100,5,0.9676574468612671,0.0,0.9676574468612671
Inhibited Predator-Prey,gaussian,0.025,100,5,0.9813128113746643,0.0,0.9813128113746643
Inhibited Predator-Prey,gaussian,0.05,100,5,0.9704604148864746,0.0,0.9704604148864746
Inhibited Predator-Prey,gaussian,0.1,100,5,0.9516658782958984,0.0,0.9516658782958984
Inhibited Predator-Prey,gaussian,0.15,100,5,0.9513453841209412,0.0,0.9513453841209412
Inhibited Predator-Prey,gaussian,0.2,100,5,0.7750331163406372,0.0,0.7750331163406372
Inhibited Predator-Prey,gaussian,0.75,100,5,0.5820914506912231,0.0,0.5820914506912231
Inhibited Predator-Prey,gaussian,0.0,100,6,0.9424331188201904,0.1443636119365692,0.9534259467313251
Inhibited Predator-Prey,gaussian,0.025,100,6,0.9283163547515869,0.20889708399772644,0.9515299502391017
