z_seed,hp_seed,pre_mle_cost,post_mle_cost,train_nrmse,test_nrmse,train_nlpd,test_nlpd,iters,best_iter,opt_time,result_file
1,1,0.031137317,0.019445345,5.276472121,5.088208988,-1.197170377,-1.234439254,1050,1050,25.43607,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-1_seed_hp-1.json
1,10,0.139771298,0.014677484,3.91516611,3.277290612,-2.544501543,-2.772756577,4900,4900,40.9660789,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-1_seed_hp-10.json
1,46,0.065699048,0.020564796,3.55617255,3.795315698,-1.038447618,-1.354104161,1050,1050,26.1896523,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-1_seed_hp-46.json
1,91,0.075717017,0.05666142,3.864850476,3.133722022,0.778609693,0.722547889,1550,1550,28.9771204,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-1_seed_hp-91.json
1,137,0.107428037,0.025469346,6.390803307,6.628382951,0.825482786,0.754175186,1800,1800,29.2842205,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-1_seed_hp-137.json
1,182,0.929325461,0.017960818,6.305995584,5.49457185,-0.555800438,-0.535575032,2800,2800,32.1205996,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-1_seed_hp-182.json
1,227,0.064730942,0.018560594,5.189627409,5.272092298,-1.320848942,-1.276955962,6200,6200,42.3533456,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-1_seed_hp-227.json
1,273,0.038146362,0.243782997,2.78907977,2.272737026,-3.151499748,-3.2864604,1050,1050,28.0357146,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-1_seed_hp-273.json
1,318,0.061083257,0.013732474,7.86427334,8.495626599,-0.603609085,-0.879207492,11500,11500,56.3331446,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-1_seed_hp-318.json
1,363,0.030906081,0.012019933,2.624320425,2.325207368,-3.378733873,-3.770974636,1050,1050,26.1834414,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-1_seed_hp-363.json
1,409,0.043496761,0.015221724,4.722664505,4.863581806,-0.327395648,-0.458801985,1050,1050,23.7921277,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-1_seed_hp-409.json
1,454,0.115525745,0.012196415,6.616844982,7.350701839,-2.80601716,-3.046397448,9000,9000,46.9006053,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-1_seed_hp-454.json
1,500,0.059108324,0.01411278,3.186270967,2.985846624,-0.401951313,-0.785574079,2750,2750,28.4202351,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-1_seed_hp-500.json
1,1234,0.02505593,0.026936267,5.068631098,3.997381404,2.679300547,0.81911242,1050,1050,23.6359344,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-1_seed_hp-1234.json
10,1,0.03149664,0.014213517,4.775681347,4.22536321,-2.271221638,-2.355674744,1050,1050,25.2330757,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-10_seed_hp-1.json
10,10,0.139973208,0.014225418,4.863372073,4.7129713,-1.415890217,-1.376606584,4850,4850,38.0332054,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-10_seed_hp-10.json
10,46,0.065335944,0.018789221,3.706273809,3.301730752,-1.724252462,-1.898620248,1050,1050,25.7680209,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-10_seed_hp-46.json
10,91,0.075717017,0.015443011,9.949480742,10.39904729,1.507280827,1.389498711,1550,1550,26.1853785,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-10_seed_hp-91.json
10,137,0.107597157,0.018266885,6.000366062,6.118404865,-0.848389387,-0.815605342,1750,1750,26.9894915,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-10_seed_hp-137.json
10,182,0.896846712,0.01723161,4.341780022,3.691995889,-1.227253556,-1.379506111,4000,4000,33.8725008,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-10_seed_hp-182.json
10,227,0.064462602,0.017307542,7.440399379,6.855408847,-0.999702692,-1.345465899,6300,6300,38.8972315,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-10_seed_hp-227.json
10,273,0.03852351,0.014192012,3.189206496,2.768301032,-2.377820253,-2.991597652,1050,1050,25.2534394,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-10_seed_hp-273.json
10,318,0.060699292,0.01366357,8.979961276,8.180598915,0.547405481,0.521574199,11800,11800,52.3939337,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-10_seed_hp-318.json
10,363,0.030852653,0.021244543,2.708977088,2.448487282,-2.949976206,-3.1080513,1050,1050,25.068669,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-10_seed_hp-363.json
10,409,0.044013616,0.011403855,4.217075557,4.295943305,-0.821804166,-0.966507733,1050,1050,25.350838,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-10_seed_hp-409.json
10,454,0.111915484,0.023089377,5.93168512,6.723316759,-2.005857229,-2.123946667,10150,10150,51.59489,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-10_seed_hp-454.json
10,500,0.059081499,0.018019553,2.930761129,2.712917328,2.730891228,-0.351501286,2750,2750,30.1869276,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-10_seed_hp-500.json
10,1234,0.025057754,0.030324321,5.491548032,4.569393769,-0.264689058,-0.360287905,1050,1050,24.1164901,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-10_seed_hp-1234.json
46,1,0.031300791,0.011587228,4.788237438,4.088676721,-1.41948235,-1.322098613,1050,1050,24.8330991,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-46_seed_hp-1.json
46,10,0.139825225,0.013803993,2.654310502,2.394847386,-2.838709593,-3.07081008,4850,4850,33.2789697,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-46_seed_hp-10.json
46,46,0.065407351,0.016382717,3.548048437,3.162557632,0.312446475,0.068421319,1050,1050,24.1059474,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-46_seed_hp-46.json
46,91,0.075717025,0.014252831,8.218991756,8.041714132,-0.036408238,-0.404415309,1550,1550,24.654473,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-46_seed_hp-91.json
46,137,0.107396074,0.022478407,6.858036667,7.32126832,-0.073807143,-0.342500627,1800,1800,23.1367183,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-46_seed_hp-137.json
46,182,0.965177119,0.02094613,3.316450492,2.959474549,-2.762767792,-3.507112503,1750,1750,23.008954,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-46_seed_hp-182.json
46,227,0.06491372,0.01855254,5.475683138,5.618252605,-1.056457639,-1.416146278,5850,5850,36.0172317,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-46_seed_hp-227.json
46,273,0.038372848,0.019916473,3.37722376,3.150968254,-1.962432265,-0.286564291,1050,1050,20.9330591,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-46_seed_hp-273.json
46,318,0.061774559,0.015526094,8.833447099,9.176789969,0.285394758,0.19519645,10850,10850,44.734713,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-46_seed_hp-318.json
46,363,0.030985922,0.035424024,2.845677733,2.359212376,-1.057252645,-0.715007126,1050,1050,24.3162159,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-46_seed_hp-363.json
46,409,0.043781549,0.014655497,7.318887115,7.249957323,1.100029349,0.804824233,1050,1050,24.913331,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-46_seed_hp-409.json
