tag	final_train_cost	A_path
run-1_zs-11_hps-1	1.224137e+01	None
run-2_zs-11_hps-3	1.432045e+01	None
run-3_zs-11_hps-7	1.660059e+01	None
run-4_zs-11_hps-8	1.891470e+01	None
run-5_zs-11_hps-40	1.108369e+01	None
run-6_zs-11_hps-59	1.474205e+01	None
run-7_zs-11_hps-61	1.942196e+01	None
run-8_zs-13_hps-1	2.274362e+01	None
run-9_zs-13_hps-3	1.165273e+01	None
run-10_zs-13_hps-7	2.308644e+01	None
run-11_zs-13_hps-8	8.720951e+00	None
run-12_zs-13_hps-40	2.376257e+01	None
run-13_zs-13_hps-59	1.536005e+01	None
run-14_zs-13_hps-61	1.772142e+01	None
run-15_zs-14_hps-1	1.106403e+01	None
run-16_zs-14_hps-3	1.667057e+01	None
run-17_zs-14_hps-7	1.072597e+01	None
run-18_zs-14_hps-8	1.174050e+01	None
run-19_zs-14_hps-40	9.866575e+00	None
run-20_zs-14_hps-59	2.386126e+01	None
run-21_zs-14_hps-61	1.450289e+01	None
run-22_zs-21_hps-1	1.531466e+01	None
run-23_zs-21_hps-3	1.435737e+01	None
run-24_zs-21_hps-7	2.796148e+01	None
run-25_zs-21_hps-8	1.129562e+01	None
run-26_zs-21_hps-40	1.551971e+01	None
run-27_zs-21_hps-59	9.001495e+00	None
run-28_zs-21_hps-61	1.468685e+01	None
run-29_zs-33_hps-1	1.810531e+01	None
run-30_zs-33_hps-3	6.035632e+00	None
run-31_zs-33_hps-7	2.253047e+01	None
run-32_zs-33_hps-8	7.729776e+00	None
run-33_zs-33_hps-40	1.374579e+01	None
run-34_zs-33_hps-59	1.424422e+01	None
run-35_zs-33_hps-61	2.516250e+01	None
run-36_zs-43_hps-1	1.896663e+01	None
run-37_zs-43_hps-3	1.515046e+01	None
run-38_zs-43_hps-7	1.449400e+01	None
run-39_zs-43_hps-8	1.264014e+01	None
run-40_zs-43_hps-40	2.884806e+01	None
run-41_zs-43_hps-59	1.937987e+01	None
run-42_zs-43_hps-61	1.435601e+01	None
run-43_zs-53_hps-1	1.793684e+01	None
run-44_zs-53_hps-3	1.170251e+01	None
run-45_zs-53_hps-7	1.284878e+01	None
run-46_zs-53_hps-8	1.253714e+01	None
run-47_zs-53_hps-40	9.871063e+00	None
run-48_zs-53_hps-59	1.793130e+01	None
run-49_zs-53_hps-61	1.438677e+01	None
