tag	final_train_cost	A_path
run-1_zs-11_hps-1	2.348435e+01	None
run-2_zs-11_hps-3	2.086976e+01	None
run-3_zs-11_hps-7	3.660483e+01	None
run-4_zs-11_hps-8	1.966746e+01	None
run-5_zs-11_hps-40	2.391994e+01	None
run-6_zs-11_hps-59	3.301178e+01	None
run-7_zs-11_hps-61	2.934449e+01	None
run-8_zs-13_hps-1	1.959386e+01	None
run-9_zs-13_hps-3	2.008301e+01	None
run-10_zs-13_hps-7	2.775839e+01	None
run-11_zs-13_hps-8	2.168525e+01	None
run-12_zs-13_hps-40	2.427243e+01	None
run-13_zs-13_hps-59	2.044469e+01	None
run-14_zs-13_hps-61	3.579765e+01	None
run-15_zs-14_hps-1	2.414413e+01	None
run-16_zs-14_hps-3	1.882757e+01	None
run-17_zs-14_hps-7	2.426890e+01	None
run-18_zs-14_hps-8	2.581359e+01	None
run-19_zs-14_hps-40	3.105888e+01	None
run-20_zs-14_hps-59	2.866165e+01	None
run-21_zs-14_hps-61	2.486176e+01	None
run-22_zs-21_hps-1	2.381535e+01	None
run-23_zs-21_hps-3	2.765407e+01	None
run-24_zs-21_hps-7	3.661291e+01	None
run-25_zs-21_hps-8	3.028396e+01	None
run-26_zs-21_hps-40	2.652324e+01	None
run-27_zs-21_hps-59	1.812954e+01	None
run-28_zs-21_hps-61	4.410616e+01	None
run-29_zs-33_hps-1	2.877284e+01	None
run-30_zs-33_hps-3	2.072770e+01	None
run-31_zs-33_hps-7	4.287622e+01	None
run-32_zs-33_hps-8	1.723634e+01	None
run-33_zs-33_hps-40	3.382655e+01	None
run-34_zs-33_hps-59	3.107334e+01	None
run-35_zs-33_hps-61	2.391467e+01	None
run-36_zs-43_hps-1	2.591591e+01	None
run-37_zs-43_hps-3	3.176725e+01	None
run-38_zs-43_hps-7	2.015843e+01	None
run-39_zs-43_hps-8	2.603542e+01	None
run-40_zs-43_hps-40	3.012187e+01	None
run-41_zs-43_hps-59	1.895033e+01	None
run-42_zs-43_hps-61	2.794386e+01	None
run-43_zs-53_hps-1	2.733994e+01	None
run-44_zs-53_hps-3	2.969260e+01	None
run-45_zs-53_hps-7	2.155049e+01	None
run-46_zs-53_hps-8	2.587739e+01	None
run-47_zs-53_hps-40	2.078943e+01	None
run-48_zs-53_hps-59	2.800600e+01	None
run-49_zs-53_hps-61	3.275803e+01	None
