system,noise_type,intensity,seed,sv_index_sorted,sv
Cart_data,gaussian,0.0,100,0,2.47408127784729
Cart_data,gaussian,0.0,100,1,1.9632989168167114
Cart_data,gaussian,0.0,100,2,0.8605886697769165
Cart_data,gaussian,0.0,100,3,0.6406757235527039
Cart_data,gaussian,0.02,100,0,3.1288444995880127
Cart_data,gaussian,0.02,100,1,1.6709002256393433
Cart_data,gaussian,0.02,100,2,1.4924159049987793
Cart_data,gaussian,0.02,100,3,0.8749393224716187
Cart_data,gaussian,0.05,100,0,4.730151653289795
Cart_data,gaussian,0.05,100,1,1.4165245294570923
Cart_data,gaussian,0.05,100,2,1.304173469543457
Cart_data,gaussian,0.05,100,3,0.7992419004440308
Cart_data,gaussian,0.075,100,0,2.7690553665161133
Cart_data,gaussian,0.075,100,1,1.6917948722839355
Cart_data,gaussian,0.075,100,2,1.1033415794372559
Cart_data,gaussian,0.075,100,3,0.7757197618484497
Cart_data,gaussian,0.1,100,0,4.081918716430664
Cart_data,gaussian,0.1,100,1,3.6926894187927246
Cart_data,gaussian,0.1,100,2,2.2350306510925293
Cart_data,gaussian,0.1,100,3,1.7505797147750854
Cart_data,gaussian,0.15,100,0,3.880979299545288
Cart_data,gaussian,0.15,100,1,2.4978058338165283
Cart_data,gaussian,0.15,100,2,1.531730055809021
Cart_data,gaussian,0.15,100,3,1.3939056396484375
Cart_data,gaussian,0.2,100,0,4.0247802734375
Cart_data,gaussian,0.2,100,1,3.01798677444458
Cart_data,gaussian,0.2,100,2,2.496654510498047
Cart_data,gaussian,0.2,100,3,1.8590445518493652
