system,noise_type,intensity,seed,sv_index_sorted,sv
Inhibited Predator-Prey,gaussian,0.0,100,0,10.159186363220215
Inhibited Predator-Prey,gaussian,0.0,100,1,4.0833420753479
Inhibited Predator-Prey,gaussian,0.02,100,0,3.1678054332733154
Inhibited Predator-Prey,gaussian,0.02,100,1,1.0199153423309326
Inhibited Predator-Prey,gaussian,0.05,100,0,4.250521183013916
Inhibited Predator-Prey,gaussian,0.05,100,1,1.3756664991378784
Inhibited Predator-Prey,gaussian,0.075,100,0,4.593665599822998
Inhibited Predator-Prey,gaussian,0.075,100,1,2.5389328002929688
Inhibited Predator-Prey,gaussian,0.1,100,0,4.304512023925781
Inhibited Predator-Prey,gaussian,0.1,100,1,2.0045723915100098
Inhibited Predator-Prey,gaussian,0.15,100,0,2.5177998542785645
Inhibited Predator-Prey,gaussian,0.15,100,1,0.9908512234687805
Inhibited Predator-Prey,gaussian,0.2,100,0,3.4933600425720215
Inhibited Predator-Prey,gaussian,0.2,100,1,1.5170021057128906
